LexGram	Gloss1	Gloss2	GramCat	VarPron	GramStr	SemF	Syn	Samples	Comm	NSC	Coll	Lang1	Lang2	Date	Rec	Doc	Nbk	Strg	Date added
a bɛ	skin	fruit skin (manɡosteen)	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a bɛ	skin	skin (of fruit)	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1		Fall 2012
a bɛ	skin	skin of coconut	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a dɛ	branch	branch	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a ɡu	coconut	coconut shell	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ɑ ko tʌʔ	stem	manɡosteen fruit stem	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a la	leaves	leaves of banana tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a wɛ a mo	her mother		phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			a wɛ a stands for the third person singular possessive; a wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ a pa	father	her father	phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			a wɛ a stands for the third person singular possessive; a wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a mo	their (dual) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a mo	their (triple) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a pa	father	their (dual) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a pa	father	their (triple) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ θɛ a mo	their (plural) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ θɛ a pa	father	their (plural) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
æ wɛ a mo	his mother		phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			æ wɛ a stands for the third person singular possessive; æ wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
da blʉ do ma	thanks	thank you very much	verb							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
da ɡɛ da ɡɛ	cut	cut into small pieces	verb							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
